"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
"A717030","Pinto","12/5/2015 13:56","Adoption","","Dog","Neutered Male","2 years","Dachshund Mix","Tricolor"
"A700172","Spot","4/25/2015 16:31","Transfer","Partner","Dog","Neutered Male","10 months","Australian Cattle Dog Mix","Tan/White"
"A684233","","7/25/2014 17:04","Adoption","","Dog","Spayed Female","2 months","Dachshund Mix","White/Brown"
"A696734","Monty","2/18/2015 15:00","Transfer","Partner","Dog","Intact Male","1 year","Labrador Retriever Mix","Black/White"
"A695358","Roscoe","2/12/2015 13:35","Transfer","Partner","Dog","Neutered Male","1 year","American Staffordshire Terrier Mix","Chocolate/White"
"A711125","Marco","9/14/2015 13:42","Transfer","Partner","Dog","Neutered Male","4 months","Catahoula Mix","Black Brindle/White"
"A669832","","12/28/2013 14:07","Transfer","Partner","Dog","Intact Male","2 months","German Shepherd Mix","Black/Tan"
"A667468","Wrigley","11/29/2013 14:21","Return_to_owner","","Dog","Intact Male","9 years","Brittany","White/Liver"
"A711117","Dottie","9/6/2015 17:59","Adoption","","Dog","Spayed Female","2 months","Black Mouth Cur Mix","Fawn/Black"
"A678589","","5/17/2014 12:12","Adoption","","Dog","Neutered Male","2 months","German Shepherd Mix","Tricolor/Brown"
"A704235","London","7/3/2015 17:12","Adoption","","Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","Tan"
"A678852","Lucy","5/13/2014 17:05","Return_to_owner","","Dog","Spayed Female","16 years","Great Pyrenees Mix","Tan/Gray"
"A720334","Slade","2/11/2016 16:06","Adoption","","Dog","Neutered Male","2 months","Labrador Retriever Mix","Black"
"A698292","Joe","3/18/2015 13:18","Return_to_owner","","Dog","Neutered Male","7 years","German Shepherd Mix","Tan/Black"
"A688049","Sherbet","7/26/2015 14:22","Return_to_owner","","Dog","Neutered Male","1 year","Pit Bull Mix","Brown Brindle/White"
"A675840","Peppy","7/20/2014 16:30","Adoption","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Tan/White"
"A688657","","9/27/2014 14:24","Adoption","","Dog","Neutered Male","10 months","Labrador Retriever Mix","Red/White"
"A706952","","7/10/2015 17:30","Adoption","","Dog","Neutered Male","3 months","Miniature Schnauzer Mix","Tan"
"A690085","Dutchess","10/19/2014 17:04","Transfer","Partner","Dog","Spayed Female","5 months","Border Collie Mix","Black/White"
"A692666","Berkley","6/19/2015 14:50","Adoption","","Dog","Spayed Female","8 months","Plott Hound Mix","Brown Brindle"
"A700795","Ferguson","4/28/2015 0:00","Transfer","Partner","Dog","Neutered Male","3 months","Pit Bull Mix","White/Tan"
"A666756","Murphy","11/10/2013 17:21","Adoption","","Dog","Spayed Female","2 years","Soft Coated Wheaten Terrier Mix","Buff/White"
"A708365","Comet","7/27/2015 12:54","Return_to_owner","","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Brown"
"A710814","Sanchez","9/12/2015 16:03","Adoption","","Dog","Neutered Male","2 years","Blue Lacy Mix","Blue/White"
"A681237","Mama Bear","6/24/2014 13:45","Return_to_owner","","Dog","Intact Female","2 years","Pit Bull Mix","White/Brown Brindle"
"A683333","Libby","8/29/2014 18:21","Adoption","","Dog","Spayed Female","2 years","Pit Bull Mix","White/Tan"
"A688804","","10/3/2014 17:51","Adoption","","Dog","Neutered Male","8 months","Pit Bull Mix","White/Brown Brindle"
"A703975","Chanel","9/7/2015 17:17","Adoption","","Dog","Spayed Female","2 years","American Staffordshire Terrier Mix","White/Tan"
"A697586","","3/2/2015 17:26","Adoption","","Dog","Spayed Female","2 months","Rottweiler Mix","Tricolor/White"
"A699555","Huey","4/1/2015 13:31","Transfer","Partner","Dog","Intact Male","2 years","Lhasa Apso Mix","Gray/White"
"A692577","","11/27/2014 14:49","Transfer","Partner","Dog","Intact Male","3 months","Pit Bull Mix","Chocolate/White"
"A674876","Benji","3/23/2014 18:27","Adoption","","Dog","Neutered Male","2 months","Australian Cattle Dog Mix","Tricolor"
"A686364","Bubba","8/15/2015 14:51","Return_to_owner","","Dog","Neutered Male","1 year","Pug Mix","Brown/Black"
"A664467","Bandit","10/11/2013 11:59","Transfer","Partner","Dog","Neutered Male","8 months","Labrador Retriever Mix","Gold"
"A702518","Racco","5/15/2015 14:06","Return_to_owner","","Dog","Intact Male","12 years","Labrador Retriever Mix","Black"
"A549098","Ladybug","12/20/2014 16:35","Return_to_owner","","Dog","Spayed Female","6 years","Pit Bull Mix","Red"
"A690336","Buster","10/27/2014 16:01","Return_to_owner","","Dog","Neutered Male","4 years","Dachshund Mix","Black/Tan"
"A709032","Chloe","8/11/2015 12:52","Adoption","","Dog","Spayed Female","12 years","Chihuahua Shorthair","Tan/White"
"A693555","Candy","12/14/2014 16:46","Return_to_owner","","Dog","Spayed Female","2 years","Labrador Retriever Mix","Black/White"
"A673521","Tails","3/1/2014 17:38","Adoption","","Dog","Spayed Female","8 months","Shetland Sheepdog Mix","Brown/White"
"A716097","Elsie","11/14/2015 14:37","Return_to_owner","","Dog","Spayed Female","3 years","Manchester Terrier Mix","Black/Tan"
"A706027","Bando","6/27/2015 17:45","Adoption","","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Tan/White"
"A718835","","1/8/2016 18:21","Return_to_owner","","Dog","Neutered Male","2 years","Pit Bull Mix","Black/White"
"A715054","Queenie","11/6/2015 18:20","Return_to_owner","","Dog","Spayed Female","2 years","Australian Cattle Dog Mix","White/Black"
"A672239","Spartacus","7/19/2014 9:58","Adoption","Foster","Dog","Neutered Male","6 months","Chihuahua Shorthair Mix","Tan"
"A673596","Charlie","2/28/2014 17:46","Euthanasia","Suffering","Dog","Neutered Male","15 years","Chow Chow Mix","Gold"
"A692637","Casper","2/23/2015 14:59","Transfer","Partner","Dog","Neutered Male","4 months","Australian Cattle Dog Mix","Tan"
"A704958","Charlie","7/1/2015 11:12","Transfer","Partner","Dog","Intact Male","2 years","Pit Bull Mix","Chocolate"
"A671090","Woody","4/13/2014 11:29","Adoption","Foster","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Brown/White"
"A717468","Simone","1/12/2016 20:07","Adoption","Foster","Dog","Spayed Female","2 years","Mastiff Mix","Brown Brindle"
"A666908","Sohpie Jean","11/9/2013 16:07","Return_to_owner","","Dog","Spayed Female","10 years","Chihuahua Shorthair Mix","Black/Brown"
"A717913","Judy","12/23/2015 16:27","Adoption","","Dog","Spayed Female","2 months","Labrador Retriever Mix","Black"
"A706278","Toby","7/7/2015 11:03","Transfer","Partner","Dog","Intact Male","13 years","Dachshund Mix","Apricot"
"A718063","Bronson","12/26/2015 16:33","Adoption","","Dog","Neutered Male","2 years","Dachshund Mix","Black/Brown"
"A673114","Freckles","3/4/2014 18:00","Adoption","","Dog","Neutered Male","2 years","Silky Terrier Mix","Brown/Gray"
"A676112","Trouble","4/5/2014 18:17","Euthanasia","Aggressive","Dog","Intact Female","1 year","Pit Bull Mix","Blue/White"
"A674434","Leonard","3/29/2014 16:56","Transfer","Partner","Dog","Neutered Male","3 months","Pit Bull Mix","Fawn/Brown"
"A683792","Xena","7/16/2014 16:31","Return_to_owner","","Dog","Intact Female","3 months","Chihuahua Longhair Mix","Buff"
"A702500","Lucky","5/21/2015 16:21","Transfer","Partner","Dog","Neutered Male","3 years","Chihuahua Longhair Mix","Brown"
"A716573","Lake","12/12/2015 16:21","Adoption","","Dog","Spayed Female","2 years","Labrador Retriever Mix","Brown"
"A709201","","8/8/2015 12:37","Adoption","","Dog","Neutered Male","1 month","Chihuahua Shorthair Mix","Tan/White"
"A717517","Rupert","12/14/2015 12:54","Adoption","","Dog","Neutered Male","2 months","Australian Cattle Dog Mix","Red Merle"
"A708090","Zach","7/28/2015 13:06","Transfer","Partner","Dog","Neutered Male","2 years","Flat Coat Retriever Mix","Black"
"A675842","Todd","4/18/2014 14:12","Transfer","Partner","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Tan/White"
"A717904","Dasher","12/22/2015 19:35","Adoption","","Dog","Neutered Male","3 months","Chihuahua Shorthair Mix","Tan"
"A718066","Pinky","12/24/2015 14:24","Return_to_owner","","Dog","Spayed Female","3 years","Pit Bull Mix","Blue/White"
"A688334","Chiquita","9/25/2014 17:53","Adoption","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Sable/Black"
"A685832","Deedee","8/21/2014 14:19","Transfer","Partner","Dog","Spayed Female","1 year","Jack Russell Terrier Mix","Red/White"
"A701762","","5/4/2015 14:29","Euthanasia","Suffering","Dog","Intact Female","3 years","Miniature Poodle Mix","Cream"
"A685556","Captain","9/26/2014 14:54","Adoption","","Dog","Neutered Male","7 months","Blue Lacy Mix","Blue/White"
"A690035","","10/17/2014 16:59","Transfer","Partner","Dog","Neutered Male","6 months","Boxer Mix","Brown Brindle/White"
"A697880","Pearl","2/14/2016 11:04","Return_to_owner","","Dog","Spayed Female","3 years","Staffordshire Mix","Tan/White"
"A702724","Quennie","5/18/2015 11:20","Return_to_owner","","Dog","Spayed Female","16 years","Basenji Mix","Tan/White"
"A459859","Frankie","4/17/2014 17:23","Transfer","Partner","Dog","Neutered Male","8 years","Pit Bull","White/Brown Brindle"
"A673289","Essie","2/27/2014 16:58","Adoption","","Dog","Spayed Female","1 year","Rat Terrier Mix","White/Black"
"A691697","Lagarto","11/18/2014 13:30","Transfer","Partner","Dog","Intact Male","2 years","Chihuahua Shorthair Mix","White/Tan"
"A698104","Astro","4/14/2015 18:37","Adoption","","Dog","Neutered Male","2 years","Australian Cattle Dog Mix","Black/Tan"
"A672459","Spudz","2/12/2014 15:59","Return_to_owner","","Dog","Neutered Male","16 years","Bull Terrier","Black/White"
"A693121","Jacques","12/14/2014 12:57","Adoption","","Dog","Neutered Male","2 years","Rat Terrier Mix","Black/White"
"A679304","Sheila","1/19/2015 18:38","Adoption","","Dog","Spayed Female","10 months","German Shepherd Mix","Brown/Black"
"A714738","Zeus","10/31/2015 12:40","Return_to_owner","","Dog","Intact Male","4 years","American Bulldog Mix","Red/White"
"A707799","Max","7/19/2015 17:19","Return_to_owner","","Dog","Neutered Male","5 years","Labrador Retriever Mix","Black/White"
"A562030","Sabrina","7/2/2015 17:25","Return_to_owner","","Dog","Spayed Female","13 years","Rat Terrier Mix","Tricolor"
"A693947","Chachacci","12/18/2014 11:48","Return_to_owner","","Dog","Neutered Male","14 years","Schipperke Mix","Black"
"A712569","Rengie","9/27/2015 12:35","Adoption","Offsite","Dog","Neutered Male","6 years","Yorkshire Terrier Mix","Silver/Tan"
"A720025","Oscar","2/18/2016 14:02","Adoption","","Dog","Neutered Male","10 years","Dachshund Mix","Tan"
"A705092","Kilo","6/30/2015 12:11","Transfer","Partner","Dog","Intact Male","2 years","Labrador Retriever Mix","White"
"A716833","Cricket","12/15/2015 11:06","Return_to_owner","","Dog","Neutered Male","5 years","Chihuahua Shorthair Mix","Black"
"A682161","Morgan","8/17/2014 11:20","Transfer","Partner","Dog","Neutered Male","6 months","Pit Bull Mix","Brown Brindle/White"
"A696740","Mini","3/4/2015 12:05","Adoption","","Dog","Spayed Female","2 years","Staffordshire","Brown Brindle"
"A682618","","6/30/2014 16:00","Euthanasia","Aggressive","Dog","Neutered Male","5 years","Australian Cattle Dog","Blue Merle"
"A673938","Seamus","3/9/2014 19:29","Adoption","","Dog","Neutered Male","2 months","Labrador Retriever Mix","Black/White"
"A649946","Major","7/30/2015 15:27","Return_to_owner","","Dog","Neutered Male","8 years","German Shepherd Mix","Black/Tan"
"A673988","Sinsae","9/15/2014 16:39","Adoption","","Dog","Neutered Male","4 years","Labrador Retriever Mix","Black/White"
"A654071","Bob","11/21/2013 18:47","Return_to_owner","","Dog","Neutered Male","1 year","Bull Terrier Mix","Black/White"
"A696204","La Paz","2/6/2015 12:36","Adoption","","Dog","Neutered Male","10 months","German Shepherd Mix","Black/Brown"
"A671587","","1/29/2014 15:10","Transfer","Partner","Dog","Intact Female","4 months","Dachshund","Brown/White"
"A712002","","9/15/2015 17:05","Transfer","Partner","Dog","Intact Female","4 weeks","Boston Terrier Mix","Black/White"
"A713531","Bruno","10/12/2015 14:15","Transfer","Partner","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Brown/White"
"A664715","Leroy","10/8/2013 15:58","Return_to_owner","","Dog","Neutered Male","2 years","Basset Hound","Tricolor"
"A701014","Honey Bear","5/2/2015 12:52","Return_to_owner","","Dog","Spayed Female","11 months","American Bulldog Mix","White/Tan"
"A670828","Estrella","1/26/2014 14:19","Transfer","Partner","Dog","Spayed Female","3 years","Chihuahua Shorthair Mix","Tan"
"A687759","Riley","9/16/2014 13:36","Transfer","Partner","Dog","Neutered Male","2 years","Miniature Schnauzer","Gray/White"
"A695859","Maddie","9/15/2015 10:37","Adoption","Foster","Dog","Spayed Female","2 years","Boxer Mix","Blue/White"
"A704846","Jazz","6/20/2015 15:29","Adoption","","Dog","Spayed Female","1 year","Boxer Mix","Tan/White"
"A415823","Two","10/26/2015 18:43","Return_to_owner","","Dog","Neutered Male","12 years","Pit Bull Mix","Tan"
"A481727","Brodie","4/8/2015 14:53","Return_to_owner","","Dog","Neutered Male","8 years","Labrador Retriever Mix","Tan/White"
"A693642","Gordo","12/13/2014 11:44","Return_to_owner","","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Brown"
"A674583","Winslow","3/29/2014 12:50","Adoption","","Dog","Neutered Male","2 years","American Bulldog Mix","White/Brown"
"A672143","","2/8/2014 18:09","Adoption","","Dog","Spayed Female","2 months","St. Bernard Smooth Coat Mix","Tricolor"
"A692848","Wilson","12/10/2014 14:59","Transfer","Partner","Dog","Intact Male","1 year","Chihuahua Shorthair Mix","Brown"
"A698799","Bronwyn","3/21/2015 11:37","Return_to_owner","","Dog","Spayed Female","8 years","Australian Cattle Dog Mix","White/Brown"
"A705131","Apollo","6/28/2015 18:26","Adoption","","Dog","Neutered Male","8 months","Pit Bull Mix","Blue/White"
"A717365","Bella","12/12/2015 17:54","Return_to_owner","","Dog","Spayed Female","1 year","Mastiff Mix","Brown Brindle"
"A655852","Trexl","12/9/2013 19:30","Adoption","Foster","Dog","Neutered Male","4 years","Chihuahua Shorthair Mix","Tricolor"
"A701667","Atlas","5/19/2015 16:34","Transfer","Partner","Dog","Intact Male","4 years","Greyhound","Black/White"
"A667756","Blossom","11/27/2013 13:29","Transfer","Partner","Dog","Intact Female","5 months","German Shepherd Mix","Brown/Black"
"A700154","Sukura","4/10/2015 17:07","Return_to_owner","","Dog","Spayed Female","3 years","German Shepherd","Black/Tan"
"A663824","","10/2/2013 23:40","Transfer","Partner","Dog","Spayed Female","8 months","Labrador Retriever Mix","Brown"
"A677710","Teddy","5/4/2014 15:49","Adoption","","Dog","Neutered Male","7 months","English Coonhound Mix","Red Tick/White"
"A718567","Teah","1/2/2016 18:26","Return_to_owner","","Dog","Intact Female","5 years","Lhasa Apso Mix","White/Brown"
"A710972","Leila","9/21/2015 18:05","Transfer","Partner","Dog","Spayed Female","2 years","Pit Bull Mix","Black/White"
"A691884","","11/16/2014 13:15","Adoption","","Dog","Neutered Male","10 months","Anatol Shepherd","White/Brown"
"A718149","","12/23/2015 0:00","Return_to_owner","","Dog","Neutered Male","13 years","Australian Shepherd Mix","Black/Tan"
"A718493","","1/5/2016 21:04","Adoption","","Dog","Spayed Female","1 month","Labrador Retriever Mix","Black"
"A654375","Pixie","10/21/2013 15:24","Return_to_owner","","Dog","Spayed Female","5 months","Pit Bull Mix","Chocolate/White"
"A719829","Lucy","1/29/2016 17:57","Return_to_owner","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Black/White"
"A697378","June","3/18/2015 16:49","Adoption","Foster","Dog","Spayed Female","1 month","Chihuahua Shorthair Mix","Tricolor"
"A675950","Mishka","4/3/2014 18:17","Return_to_owner","","Dog","Spayed Female","8 months","Pit Bull Mix","White/Brown"
"A714405","Miracle","11/6/2015 12:30","Transfer","Partner","Dog","Intact Female","8 years","Pekingese Mix","Tan/White"
"A702865","Spunky","5/27/2015 18:45","Return_to_owner","","Dog","Neutered Male","2 years","Jack Russell Terrier Mix","White"
"A696500","Pablito","2/15/2015 12:06","Transfer","Partner","Dog","Intact Male","1 year","Chihuahua Shorthair Mix","Brown"
"A659152","Big Worm","5/19/2014 17:36","Return_to_owner","","Dog","Neutered Male","5 years","Bulldog Mix","Red"
"A711960","","9/16/2015 12:23","Transfer","Partner","Dog","Neutered Male","13 years","Catahoula Mix","Black/White"
"A586033","Sam","2/21/2016 19:17","Adoption","","Dog","Neutered Male","6 years","Beagle Mix","White"
"A685788","Rocky","8/25/2014 12:26","Adoption","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","White/Black"
"A677215","Hershey","5/14/2014 18:54","Adoption","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Chocolate/White"
"A696418","Huckleberry","2/14/2015 15:50","Adoption","","Dog","Neutered Male","1 year","Black Mix","Brown/Black"
"A700242","Molly","4/23/2015 12:09","Transfer","Partner","Dog","Intact Female","7 years","Labrador Retriever Mix","Black"
"A710991","Jack","9/6/2015 13:24","Adoption","","Dog","Neutered Male","8 months","Queensland Heeler Mix","White/Tan"
"A689609","Valent","10/22/2014 18:08","Adoption","","Dog","Neutered Male","1 year","Cairn Terrier Mix","Brown/Black"
"A713689","Autumn","10/13/2015 19:05","Return_to_owner","","Dog","Spayed Female","2 months","German Shepherd Mix","Brown/White"
"A675027","","4/6/2014 17:20","Transfer","Partner","Dog","Intact Male","2 years","Chihuahua Shorthair Mix","Brown"
"A677918","Buddy","3/29/2015 16:56","Euthanasia","Aggressive","Dog","Neutered Male","7 years","Pit Bull Mix","White/Chocolate"
"A692690","Sugar Cane","12/7/2014 14:48","Adoption","","Dog","Neutered Male","11 months","Italian Greyhound Mix","Buff"
"A717114","Louie","12/18/2015 15:35","Adoption","Offsite","Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","Black"
"A618691","Chucha","10/3/2013 13:05","Return_to_owner","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Tan/White"
"A711805","Bernie","9/16/2015 17:42","Adoption","","Dog","Neutered Male","3 years","St. Bernard Rough Coat Mix","Tricolor"
"A661599","Toby","9/28/2014 17:39","Return_to_owner","","Dog","Neutered Male","14 years","Miniature Pinscher Mix","Black"
